,from_account,to_account,amount,type,date
86,user_79,merchant_2,36.77,transaction,2023-11-30
87,user_100,user_33,29.63,transaction,2023-11-30
88,user_54,merchant_9,178.69,transaction,2023-12-01
89,user_40,user_15,21.5,transaction,2023-12-01
90,user_97,merchant_5,94.97,transaction,2023-12-02
91,user_6,merchant_1,128.69,transaction,2023-12-02
92,user_95,user_56,17.97,transaction,2023-12-03
93,user_1,merchant_8,90.82,transaction,2023-12-03
94,user_18,merchant_2,60.09,transaction,2023-12-03
95,merchant_6,user_9,116.47,refund,2023-12-04
96,user_45,user_70,2.0,transaction,2023-12-04
97,user_15,user_94,15.09,transaction,2023-12-04
98,user_88,user_22,24.12,transaction,2023-12-05
99,user_54,merchant_2,103.89,transaction,2023-12-05
100,user_9,merchant_4,71.64,transaction,2023-12-05
101,user_37,merchant_9,93.51,transaction,2023-12-05
102,user_37,merchant_7,88.12,transaction,2023-12-05
103,user_47,user_88,27.58,transaction,2023-12-05
104,merchant_8,user_76,100.7,refund,2023-12-05
105,user_24,user_37,45.57,transaction,2023-12-05
106,user_30,merchant_1,172.78,transaction,2023-12-05
107,merchant_2,user_79,19.29,refund,2023-12-05
108,user_39,merchant_6,32.51,transaction,2023-12-06
109,merchant_7,user_37,45.84,refund,2023-12-06
110,user_27,user_28,30.15,transaction,2023-12-06
111,user_80,user_74,42.88,transaction,2023-12-06
112,user_50,user_66,23.01,transaction,2023-12-07
113,user_83,user_82,4.44,transaction,2023-12-07
114,user_57,user_61,28.38,transaction,2023-12-08
115,user_83,merchant_6,141.73,transaction,2023-12-08
116,user_81,user_96,21.46,transaction,2023-12-09
117,merchant_1,user_6,93.18,refund,2023-12-10
118,user_4,user_41,34.59,transaction,2023-12-10
119,user_72,merchant_7,30.1,transaction,2023-12-10
120,user_78,merchant_2,133.09,transaction,2023-12-11
121,user_49,merchant_9,16.08,transaction,2023-12-11
122,user_94,merchant_10,185.13,transaction,2023-12-11
123,user_40,merchant_6,32.49,transaction,2023-12-12
124,user_34,user_58,4.42,transaction,2023-12-13
125,user_32,user_87,44.21,transaction,2023-12-13
126,user_85,merchant_7,199.95,transaction,2023-12-13
127,user_93,merchant_1,13.6,transaction,2023-12-13
128,user_31,merchant_1,45.0,transaction,2023-12-14
129,user_62,merchant_6,154.21,transaction,2023-12-14
130,user_88,merchant_5,180.6,transaction,2023-12-14
131,merchant_10,user_94,145.39,refund,2023-12-15
132,user_58,merchant_8,162.31,transaction,2023-12-15
133,user_27,user_48,40.35,transaction,2023-12-16
134,user_16,merchant_5,85.92,transaction,2023-12-16
135,user_2,merchant_6,117.36,transaction,2023-12-16
136,user_15,merchant_7,189.5,transaction,2023-12-16
137,user_11,merchant_4,129.81,transaction,2023-12-16
138,merchant_6,user_62,116.41,refund,2023-12-16
139,user_15,merchant_5,131.31,transaction,2023-12-17
140,user_9,user_94,39.32,transaction,2023-12-17
141,user_79,user_97,24.56,transaction,2023-12-17
142,user_20,user_32,16.65,transaction,2023-12-18
143,user_94,merchant_1,183.82,transaction,2023-12-19
144,user_28,user_8,18.52,transaction,2023-12-19
145,user_92,user_98,13.65,transaction,2023-12-20
146,merchant_8,user_58,101.59,refund,2023-12-20
147,user_71,user_60,41.78,transaction,2023-12-21
148,merchant_4,user_11,109.9,refund,2023-12-21
149,user_38,merchant_8,165.94,transaction,2023-12-21
150,merchant_1,user_94,124.1,refund,2023-12-21
151,user_51,merchant_8,134.22,transaction,2023-12-22
152,user_78,user_68,2.51,transaction,2023-12-22
153,user_42,user_56,21.49,transaction,2023-12-23
154,user_99,user_34,42.25,transaction,2023-12-23
155,user_99,merchant_6,96.12,transaction,2023-12-24
156,user_6,user_22,48.24,transaction,2023-12-25
157,user_61,merchant_4,52.02,transaction,2023-12-25
158,user_2,user_38,32.17,transaction,2023-12-25
159,merchant_8,user_38,106.93,refund,2023-12-25
160,user_58,user_55,2.68,transaction,2023-12-25
161,user_75,merchant_7,59.88,transaction,2023-12-25
162,user_43,merchant_5,118.49,transaction,2023-12-25
163,user_64,merchant_4,103.52,transaction,2023-12-26
164,user_44,merchant_6,47.64,transaction,2023-12-26
165,user_78,merchant_10,41.14,transaction,2023-12-26
166,user_38,merchant_9,35.03,transaction,2023-12-26
167,user_25,user_25,39.58,transaction,2023-12-27
168,user_7,merchant_6,159.71,transaction,2023-12-27
169,user_65,user_91,41.59,transaction,2023-12-27
170,user_51,user_88,38.63,transaction,2023-12-28
171,user_91,user_87,24.7,transaction,2023-12-28
172,merchant_5,user_43,81.6,refund,2023-12-28
173,user_27,merchant_7,53.68,transaction,2023-12-29
174,user_17,user_42,8.51,transaction,2023-12-29
175,user_5,merchant_6,84.39,transaction,2023-12-30
176,user_25,merchant_5,55.45,transaction,2023-12-30
177,user_18,user_43,6.7,transaction,2023-12-30
178,user_3,merchant_9,59.79,transaction,2023-12-31
179,user_1,user_84,21.39,transaction,2023-12-31
180,user_56,merchant_6,70.15,transaction,2024-01-01
181,user_36,merchant_2,125.08,transaction,2024-01-01
182,merchant_6,user_7,143.85,refund,2024-01-01
183,user_28,merchant_9,134.13,transaction,2024-01-02
184,user_30,user_17,4.29,transaction,2024-01-02
185,user_34,merchant_7,16.8,transaction,2024-01-02
186,user_74,user_10,13.35,transaction,2024-01-03
187,user_100,user_5,26.07,transaction,2024-01-03
188,user_48,merchant_2,123.94,transaction,2024-01-03
189,user_79,user_17,37.65,transaction,2024-01-03
190,user_39,user_96,18.04,transaction,2024-01-04
191,merchant_6,user_56,63.06,refund,2024-01-04
192,user_42,merchant_1,104.17,transaction,2024-01-05
193,user_65,merchant_6,88.45,transaction,2024-01-06
194,user_96,user_24,16.39,transaction,2024-01-06
195,user_63,user_17,30.68,transaction,2024-01-06
196,user_87,merchant_10,34.51,transaction,2024-01-07
197,user_47,merchant_8,91.71,transaction,2024-01-07
198,user_37,user_7,38.38,transaction,2024-01-08
199,user_32,user_67,46.03,transaction,2024-01-08
200,user_22,merchant_4,162.13,transaction,2024-01-08
201,user_23,merchant_3,70.49,transaction,2024-01-08
202,user_95,merchant_8,162.9,transaction,2024-01-08
203,user_20,merchant_9,37.91,transaction,2024-01-09
204,user_76,merchant_6,121.2,transaction,2024-01-09
205,user_13,merchant_2,187.2,transaction,2024-01-09
206,user_86,merchant_3,17.33,transaction,2024-01-10
207,user_6,merchant_4,174.67,transaction,2024-01-10
208,user_19,user_82,23.15,transaction,2024-01-10
209,user_23,user_63,33.41,transaction,2024-01-10
210,user_29,merchant_5,112.79,transaction,2024-01-10
211,merchant_6,user_65,74.88,refund,2024-01-10
212,merchant_8,user_47,85.81,refund,2024-01-10
213,user_41,user_36,41.34,transaction,2024-01-11
214,merchant_10,user_87,21.71,refund,2024-01-12
215,user_23,user_72,2.1,transaction,2024-01-12
216,user_31,user_10,21.55,transaction,2024-01-12
217,user_80,merchant_9,198.46,transaction,2024-01-13
218,user_42,user_44,13.24,transaction,2024-01-13
219,user_46,merchant_8,81.18,transaction,2024-01-13
220,merchant_4,user_22,87.8,refund,2024-01-14
221,user_98,user_21,15.79,transaction,2024-01-14
222,user_39,user_3,37.28,transaction,2024-01-14
223,user_13,user_61,1.88,transaction,2024-01-15
224,merchant_5,user_29,57.65,refund,2024-01-16
225,user_65,user_46,37.66,transaction,2024-01-16
226,user_23,merchant_2,197.41,transaction,2024-01-16
227,user_75,merchant_6,31.5,transaction,2024-01-16
228,user_36,merchant_4,169.32,transaction,2024-01-17
229,user_43,user_84,45.24,transaction,2024-01-17
230,user_75,user_32,14.8,transaction,2024-01-17
231,user_82,merchant_6,22.02,transaction,2024-01-18
232,user_95,merchant_10,149.02,transaction,2024-01-18
233,merchant_8,user_46,41.23,refund,2024-01-18
234,user_74,merchant_10,123.38,transaction,2024-01-18
235,user_84,merchant_10,179.82,transaction,2024-01-19
236,user_93,user_96,2.98,transaction,2024-01-19
237,user_1,user_71,6.76,transaction,2024-01-19
238,user_70,user_75,25.29,transaction,2024-01-20
239,user_65,user_37,21.37,transaction,2024-01-20
240,user_71,merchant_5,70.04,transaction,2024-01-20
241,merchant_4,user_36,152.6,refund,2024-01-21
242,merchant_6,user_75,27.51,refund,2024-01-21
243,user_3,merchant_6,124.51,transaction,2024-01-21
244,user_58,user_74,2.25,transaction,2024-01-22
245,user_10,merchant_1,14.89,transaction,2024-01-22
246,user_55,user_90,24.77,transaction,2024-01-22
247,user_41,merchant_4,168.94,transaction,2024-01-22
248,merchant_2,user_23,158.36,refund,2024-01-23
249,user_32,merchant_8,86.99,transaction,2024-01-23
250,user_18,user_51,15.11,transaction,2024-01-24
251,user_100,merchant_10,134.41,transaction,2024-01-25
252,merchant_1,user_10,7.68,refund,2024-01-25
253,user_7,merchant_3,133.13,transaction,2024-01-26
254,user_74,merchant_4,148.35,transaction,2024-01-26
255,user_60,user_39,27.15,transaction,2024-01-26
256,user_21,merchant_1,41.26,transaction,2024-01-26
257,user_98,user_44,15.77,transaction,2024-01-27
258,user_53,merchant_7,27.83,transaction,2024-01-27
259,user_26,merchant_3,101.43,transaction,2024-01-28
260,merchant_7,user_53,23.34,refund,2024-01-29
261,user_49,user_60,44.47,transaction,2024-01-29
262,user_8,user_7,35.54,transaction,2024-01-29
263,merchant_3,user_7,90.09,refund,2024-01-30
264,user_96,merchant_8,50.09,transaction,2024-01-30
265,user_24,merchant_3,30.33,transaction,2024-01-31
266,user_85,merchant_2,137.18,transaction,2024-01-31
267,user_63,merchant_10,164.11,transaction,2024-01-31
268,user_69,user_19,26.75,transaction,2024-01-31
269,user_62,merchant_7,18.49,transaction,2024-02-01
270,user_68,merchant_3,33.04,transaction,2024-02-01
271,user_14,user_13,45.03,transaction,2024-02-01
272,user_98,merchant_8,71.38,transaction,2024-02-01
273,user_89,merchant_10,15.88,transaction,2024-02-01
274,user_50,merchant_2,111.75,transaction,2024-02-01
275,user_5,user_72,49.78,transaction,2024-02-02
276,user_66,user_10,25.66,transaction,2024-02-02
277,user_33,user_68,22.76,transaction,2024-02-02
278,user_91,merchant_7,54.46,transaction,2024-02-02
279,user_16,user_46,28.15,transaction,2024-02-03
280,user_36,user_71,44.37,transaction,2024-02-03
281,user_43,merchant_6,53.96,transaction,2024-02-03
282,user_70,merchant_3,92.89,transaction,2024-02-03
283,merchant_8,user_98,70.01,refund,2024-02-03
284,user_99,merchant_4,135.36,transaction,2024-02-03
285,user_89,user_61,25.95,transaction,2024-02-04
286,merchant_2,user_85,108.42,refund,2024-02-04
287,user_67,merchant_1,10.45,transaction,2024-02-04
288,user_3,user_49,19.72,transaction,2024-02-05
289,user_71,user_44,35.34,transaction,2024-02-05
290,user_26,user_66,36.97,transaction,2024-02-05
291,user_69,merchant_7,88.08,transaction,2024-02-05
292,user_27,merchant_5,58.16,transaction,2024-02-05
293,user_61,merchant_1,178.14,transaction,2024-02-05
294,user_68,user_24,25.8,transaction,2024-02-06
295,user_30,merchant_7,148.24,transaction,2024-02-07
296,user_19,merchant_3,187.45,transaction,2024-02-07
297,user_25,merchant_6,58.82,transaction,2024-02-07
298,merchant_5,user_27,54.3,refund,2024-02-11
299,merchant_10,user_89,13.62,refund,2024-02-12
300,merchant_7,user_30,133.05,refund,2024-02-13
